epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,338.709,1.21718,1.16392,1.13763,0.84747,0.80531,0.87349,0.49276,1.41124,1.03399,1.148,0.0002575,0.0002575,0.0002575
77,342.946,1.27502,1.04873,1.16561,0.84747,0.80531,0.87349,0.49276,1.41124,1.03399,1.148,0.0002476,0.0002476,0.0002476
78,347.348,1.24363,1.04791,1.14396,0.82942,0.82637,0.87065,0.4956,1.41133,0.99029,1.14359,0.0002377,0.0002377,0.0002377
79,352,1.27041,1.24283,1.24548,0.82942,0.82637,0.87065,0.4956,1.41133,0.99029,1.14359,0.0002278,0.0002278,0.0002278
80,356.261,1.17787,1.0041,1.15681,0.8201,0.84769,0.88921,0.49878,1.40802,0.96369,1.13739,0.0002179,0.0002179,0.0002179
81,360.695,1.27815,1.10628,1.19505,0.8201,0.84769,0.88921,0.49878,1.40802,0.96369,1.13739,0.000208,0.000208,0.000208
82,365.035,1.20518,1.02878,1.1441,0.83168,0.85819,0.88678,0.50189,1.38814,0.95342,1.13247,0.0001981,0.0001981,0.0001981
83,369.354,1.20471,1.10603,1.10952,0.83168,0.85819,0.88678,0.50189,1.38814,0.95342,1.13247,0.0001882,0.0001882,0.0001882
84,373.941,1.16508,0.99532,1.1407,0.83548,0.84558,0.87792,0.51005,1.36681,0.93956,1.12619,0.0001783,0.0001783,0.0001783
85,378.428,1.20867,1.03175,1.1084,0.83548,0.84558,0.87792,0.51005,1.36681,0.93956,1.12619,0.0001684,0.0001684,0.0001684
86,382.857,1.21415,1.03269,1.17089,0.83795,0.83044,0.88237,0.52277,1.35771,0.92989,1.12097,0.0001585,0.0001585,0.0001585
87,387.292,1.25945,1.01232,1.13103,0.83795,0.83044,0.88237,0.52277,1.35771,0.92989,1.12097,0.0001486,0.0001486,0.0001486
88,391.598,1.1801,0.98593,1.11533,0.87309,0.81532,0.8852,0.52195,1.35683,0.92388,1.11881,0.0001387,0.0001387,0.0001387
89,395.969,1.1944,1.0295,1.09423,0.87309,0.81532,0.8852,0.52195,1.35683,0.92388,1.11881,0.0001288,0.0001288,0.0001288
90,400.681,1.09474,0.96796,1.09897,0.84208,0.85923,0.88947,0.52056,1.36048,0.90837,1.12161,0.0001189,0.0001189,0.0001189
91,405.04,1.30413,1.5471,1.16796,0.84208,0.85923,0.88947,0.52056,1.36048,0.90837,1.12161,0.000109,0.000109,0.000109
92,409.433,1.20206,1.25051,1.14399,0.83828,0.84316,0.8955,0.51534,1.36523,0.89223,1.12496,9.91e-05,9.91e-05,9.91e-05
93,413.647,1.19411,1.282,1.13559,0.83828,0.84316,0.8955,0.51534,1.36523,0.89223,1.12496,8.92e-05,8.92e-05,8.92e-05
94,417.723,1.25707,1.27093,1.13576,0.84222,0.84265,0.88621,0.51231,1.37077,0.89316,1.12938,7.93e-05,7.93e-05,7.93e-05
95,421.802,1.22406,1.18669,1.16081,0.84222,0.84265,0.88621,0.51231,1.37077,0.89316,1.12938,6.94e-05,6.94e-05,6.94e-05
96,425.954,1.14431,1.17634,1.08563,0.81625,0.8579,0.88673,0.5083,1.37653,0.90075,1.13417,5.95e-05,5.95e-05,5.95e-05
97,430.114,1.23303,1.15167,1.12725,0.81625,0.8579,0.88673,0.5083,1.37653,0.90075,1.13417,4.96e-05,4.96e-05,4.96e-05
98,434.29,1.15276,1.14579,1.15535,0.80081,0.85008,0.8827,0.50135,1.37901,0.90375,1.1378,3.97e-05,3.97e-05,3.97e-05
99,438.539,1.26353,1.19234,1.14814,0.80081,0.85008,0.8827,0.50135,1.37901,0.90375,1.1378,2.98e-05,2.98e-05,2.98e-05
100,442.811,1.15657,1.03323,1.13573,0.8084,0.85327,0.88142,0.4997,1.38084,0.90647,1.14066,1.99e-05,1.99e-05,1.99e-05
